service_slug,unit,low,median,high,source_urls,source_types,confidence,seasonal_note,checked_date
chimney-sweep-flat,flat-job,130,250,400,https://www.angi.com/articles/how-much-does-chimney-sweep-cost.htm ; https://homeguide.com/costs/chimney-sweep-cost ; http://www.tidewaterchimney.com/prices ; https://m.superiorchimneysweep.com/,guide ; guide ; company ; company,high,"Fall (Sep-Nov) demand spike raises prices and wait times; spring/summer cheapest. '$99 special' is bait, not a range floor.",2026-07-06
level-1-inspection,flat-job,100,200,550,https://www.fixr.com/costs/chimney-inspection ; https://homeguide.com/costs/chimney-inspection-cost ; https://www.indianasweeps.com/prices ; https://www.wisconsinchimney.com/Sweep/Costs,guide ; guide ; company ; company,high,"Often bundled with a sweep. High end = multi-flue. 'Starting at' banners are floors, not medians.",2026-07-06
level-2-inspection,flat-job,200,375,900,https://www.fixr.com/costs/chimney-inspection ; https://homeguide.com/costs/chimney-inspection-cost ; https://www.chimneysaversvt.com/chimney-sweep-inspection-pricing/ ; https://www.adamchimneysweep.com/chimney-fireplace-pricing/ ; https://alcchimneyservice.com/chimney-sweep-cost-in-2026/,guide ; guide ; company ; company ; company,high,P2-hardened: 4 companies (VT/CO/TX/FL) converge $200-600; Chimney Savers VT posts flat $359 first flue / $259 each add'l. Required at sale/system change. High end = multi-flue.,2026-07-06
level-3-inspection,quote-only,500,1500,5000,https://www.angi.com/articles/chimney-inspection-cost.htm ; https://homeguide.com/costs/chimney-inspection-cost ; https://www.fixr.com/costs/chimney-inspection ; https://www.sweptawaychimney.com/how-much-do-chimney-inspections-cost/ ; https://www.adamchimneysweep.com/chimney-fireplace-pricing/ ; https://alcchimneyservice.com/chimney-sweep-cost-in-2026/,guide ; guide ; guide ; company ; company ; company,quote-only-confirmed,"3 companies explicitly price case-by-case ('our rep will give exact pricing'). $500-$5,000 is a typical project-total band, not a flat rate. Invasive/demolition.",2026-07-06
creosote-deglazing,flat-job,300,600,1500,https://royalchimneys.com/the-3-stages-of-creosote-what-they-look-like-and-what-each-one-costs-to-remove/ ; https://gmthomeservices.com/chimney-deep-cleaning-pcr-services/ ; https://cantonchimney.com/poultice-creosote-remover-pcr ; https://midtownsweeps.com/chimney-repair/poultice-creosote-remover/ ; https://bestcincinnatichimney.com/poultice-creosote-removal/,company ; company ; company ; company ; company,quote-only-confirmed,"P2: 5 real company pages checked - only 2 (OH, CT) publish single-market numbers; 3 more omit price and push to quote. Stage-3/PCR is industry-wide inspect-then-quote. $300-$1,500 indicative band.",2026-07-06
cap-single-flue,flat-job,150,350,650,https://www.angi.com/articles/cost-replace-cap-and-3-feet-bricks-chimney.htm ; https://www.fixr.com/costs/chimney-cap-replacement ; https://brownchimney.com/chimney-cap-installation-cost ; https://priddychimney.com/chimney-cap-installation/,guide ; guide ; company ; company,high,Installed (part + labor). Company all-in quotes cluster $175-$549.,2026-07-06
cap-multi-flue,flat-job,300,1100,2500,https://brownchimney.com/chimney-cap-installation-cost ; https://archerchimneys.com/chimney-cap-cost/ ; https://www.adamchimneysweep.com/chimney-fireplace-pricing/ ; https://www.angi.com/articles/cost-replace-cap-and-3-feet-bricks-chimney.htm,company ; company ; company ; guide,high,"P2-hardened: bimodal, now company-confirmed. Basic box/rectangular 2-flue cover $300-$700 (Archer); true custom-fabricated stainless multi-flue $1,400-$2,500+ (Brown Chimney). Two different SKUs under one name.",2026-07-06
cap-full-coverage,flat-job,400,850,1500,https://chimneycapsatlanta.com/chimney-cap-replacement-cost/ ; https://archerchimneys.com/chimney-cap-cost/ ; https://homeguide.com/costs/chimney-cap-cost ; https://www.fixr.com/costs/chimney-cap-replacement,company ; company ; guide ; guide,medium,"P2: upgraded low->medium. Chimney Caps Atlanta posts an explicit full-coverage SKU ('Flat Roof starting $849 / Hip Roof starting $1,050') distinct from single-flue. Naming still fragmented (full-coverage/multi-flue/chase); most shops custom-quote. Large crowns run higher.",2026-07-06
chase-cover,flat-job,300,700,2500,https://priddychimney.com/chase-cover-replacements-repairs/ ; https://gerriormasonry.com/chimney-chase-cover-replacement-cost/ ; https://www.fixr.com/costs/chimney-cap-replacement ; https://homeguide.com/costs/chimney-cap-cost,company ; company ; guide ; guide,high,"Factory-built/framed chases (distinct from masonry crowns). Guides cluster $300-$700 standard; stainless/copper & large custom to $2,500+ (copper ~$3,800). Spring/fall peak. NOTE: Gerrior page self-discloses figures are 'internet data, not actual Gerrior costs' (guide-style).",2026-07-06
damper-throat,flat-job,200,400,700,https://www.angi.com/articles/chimney-damper-replacement-cost.htm ; https://chimneysweeps.com/chimney-damper-replacement-cost/ ; https://bobschimney.com/chimney-damper-replacement-cost-process/ ; https://chimneysweep.com/chimney-damper-repair-cost/,guide ; guide ; company ; guide,high,Installed total (excludes material-only $150-$300). Cheaper of the two damper types.,2026-07-06
